/Users/anandm/tansive/tansive-internal/internal/common/uuid/uuid.go:55:29: [CWE-190] integer overflow conversion uint64 -> int64 (Rule:G115, Severity:HIGH, Confidence:MEDIUM)
/Users/anandm/tansive/tansive-internal/internal/catalogsrv/config/runtimeconfig.go:13:9: [CWE-276] Expect directory permissions to be 0750 or less (Rule:G301, Severity:MEDIUM, Confidence:HIGH)
/Users/anandm/tansive/tansive-internal/internal/tangent/runners/stdiorunner/runner.go:160:9: [CWE-276] Expect WriteFile permissions to be 0600 or less (Rule:G306, Severity:MEDIUM, Confidence:HIGH)
/Users/anandm/tansive/tansive-internal/internal/tangent/test/types.go:124:3: [CWE-703] Errors unhandled (Rule:G104, Severity:LOW, Confidence:HIGH)
/Users/anandm/tansive/tansive-internal/internal/tangent/test/types.go:122:3: [CWE-703] Errors unhandled (Rule:G104, Severity:LOW, Confidence:HIGH)
/Users/anandm/tansive/tansive-internal/internal/tangent/session/sessionapi.go:203:5: [CWE-703] Errors unhandled (Rule:G104, Severity:LOW, Confidence:HIGH)
/Users/anandm/tansive/tansive-internal/internal/tangent/session/sessionapi.go:196:5: [CWE-703] Errors unhandled (Rule:G104, Severity:LOW, Confidence:HIGH)
/Users/anandm/tansive/tansive-internal/internal/tangent/session/auditlog.go:80:5: [CWE-703] Errors unhandled (Rule:G104, Severity:LOW, Confidence:HIGH)
/Users/anandm/tansive/tansive-internal/internal/tangent/session/auditlog.go:50:3: [CWE-703] Errors unhandled (Rule:G104, Severity:LOW, Confidence:HIGH)
/Users/anandm/tansive/tansive-internal/internal/tangent/session/auditlog.go:49:3: [CWE-703] Errors unhandled (Rule:G104, Severity:LOW, Confidence:HIGH)
/Users/anandm/tansive/tansive-internal/internal/tangent/eventlogger/base64wrappedlogger.go:16:2: [CWE-703] Errors unhandled (Rule:G104, Severity:LOW, Confidence:HIGH)
/Users/anandm/tansive/tansive-internal/internal/tangent/config/runtimeconfig.go:195:2: [CWE-703] Errors unhandled (Rule:G104, Severity:LOW, Confidence:HIGH)
/Users/anandm/tansive/tansive-internal/internal/tangent/config/runtimeconfig.go:151:2: [CWE-703] Errors unhandled (Rule:G104, Severity:LOW, Confidence:HIGH)
/Users/anandm/tansive/tansive-internal/internal/tangent/config/runtimeconfig.go:116:2: [CWE-703] Errors unhandled (Rule:G104, Severity:LOW, Confidence:HIGH)
/Users/anandm/tansive/tansive-internal/internal/common/httpx/jsonresponder.go:40:2: [CWE-703] Errors unhandled (Rule:G104, Severity:LOW, Confidence:HIGH)
/Users/anandm/tansive/tansive-internal/internal/common/httpx/httperrors.go:42:3: [CWE-703] Errors unhandled (Rule:G104, Severity:LOW, Confidence:HIGH)
/Users/anandm/tansive/tansive-internal/internal/common/httpx/httperrors.go:37:4: [CWE-703] Errors unhandled (Rule:G104, Severity:LOW, Confidence:HIGH)
/Users/anandm/tansive/tansive-internal/internal/common/httpx/http.go:107:4: [CWE-703] Errors unhandled (Rule:G104, Severity:LOW, Confidence:HIGH)
/Users/anandm/tansive/tansive-internal/internal/common/httpclient/httpclient.go:330:3: [CWE-703] Errors unhandled (Rule:G104, Severity:LOW, Confidence:HIGH)
/Users/anandm/tansive/tansive-internal/internal/cli/update.go:130:2: [CWE-703] Errors unhandled (Rule:G104, Severity:LOW, Confidence:HIGH)
/Users/anandm/tansive/tansive-internal/internal/cli/session.go:326:2: [CWE-703] Errors unhandled (Rule:G104, Severity:LOW, Confidence:HIGH)
/Users/anandm/tansive/tansive-internal/internal/cli/logprinter.go:137:3: [CWE-703] Errors unhandled (Rule:G104, Severity:LOW, Confidence:HIGH)
/Users/anandm/tansive/tansive-internal/internal/cli/logprinter.go:126:4: [CWE-703] Errors unhandled (Rule:G104, Severity:LOW, Confidence:HIGH)
/Users/anandm/tansive/tansive-internal/internal/cli/logprinter.go:124:3: [CWE-703] Errors unhandled (Rule:G104, Severity:LOW, Confidence:HIGH)
/Users/anandm/tansive/tansive-internal/internal/cli/logprinter.go:123:3: [CWE-703] Errors unhandled (Rule:G104, Severity:LOW, Confidence:HIGH)
/Users/anandm/tansive/tansive-internal/internal/cli/logprinter.go:119:4: [CWE-703] Errors unhandled (Rule:G104, Severity:LOW, Confidence:HIGH)
/Users/anandm/tansive/tansive-internal/internal/cli/logprinter.go:117:4: [CWE-703] Errors unhandled (Rule:G104, Severity:LOW, Confidence:HIGH)
/Users/anandm/tansive/tansive-internal/internal/cli/logprinter.go:115:3: [CWE-703] Errors unhandled (Rule:G104, Severity:LOW, Confidence:HIGH)
/Users/anandm/tansive/tansive-internal/internal/cli/logprinter.go:109:3: [CWE-703] Errors unhandled (Rule:G104, Severity:LOW, Confidence:HIGH)
/Users/anandm/tansive/tansive-internal/internal/cli/logprinter.go:107:3: [CWE-703] Errors unhandled (Rule:G104, Severity:LOW, Confidence:HIGH)
/Users/anandm/tansive/tansive-internal/internal/cli/logprinter.go:105:3: [CWE-703] Errors unhandled (Rule:G104, Severity:LOW, Confidence:HIGH)
/Users/anandm/tansive/tansive-internal/internal/cli/logprinter.go:79:3: [CWE-703] Errors unhandled (Rule:G104, Severity:LOW, Confidence:HIGH)
/Users/anandm/tansive/tansive-internal/internal/cli/logprinter.go:78:3: [CWE-703] Errors unhandled (Rule:G104, Severity:LOW, Confidence:HIGH)
/Users/anandm/tansive/tansive-internal/internal/cli/create.go:101:2: [CWE-703] Errors unhandled (Rule:G104, Severity:LOW, Confidence:HIGH)
/Users/anandm/tansive/tansive-internal/internal/cli/config.go:223:3: [CWE-703] Errors unhandled (Rule:G104, Severity:LOW, Confidence:HIGH)
/Users/anandm/tansive/tansive-internal/internal/cli/commands.go:39:3: [CWE-703] Errors unhandled (Rule:G104, Severity:LOW, Confidence:HIGH)
/Users/anandm/tansive/tansive-internal/internal/catalogsrv/schema/schemavalidator/validators.go:208:2: [CWE-703] Errors unhandled (Rule:G104, Severity:LOW, Confidence:HIGH)
/Users/anandm/tansive/tansive-internal/internal/catalogsrv/schema/schemavalidator/validators.go:207:2: [CWE-703] Errors unhandled (Rule:G104, Severity:LOW, Confidence:HIGH)
/Users/anandm/tansive/tansive-internal/internal/catalogsrv/schema/schemavalidator/validators.go:206:2: [CWE-703] Errors unhandled (Rule:G104, Severity:LOW, Confidence:HIGH)
/Users/anandm/tansive/tansive-internal/internal/catalogsrv/schema/schemavalidator/validators.go:205:2: [CWE-703] Errors unhandled (Rule:G104, Severity:LOW, Confidence:HIGH)
/Users/anandm/tansive/tansive-internal/internal/catalogsrv/schema/schemavalidator/validators.go:204:2: [CWE-703] Errors unhandled (Rule:G104, Severity:LOW, Confidence:HIGH)
/Users/anandm/tansive/tansive-internal/internal/catalogsrv/schema/schemavalidator/validators.go:203:2: [CWE-703] Errors unhandled (Rule:G104, Severity:LOW, Confidence:HIGH)
/Users/anandm/tansive/tansive-internal/internal/catalogsrv/schema/schemavalidator/validators.go:202:2: [CWE-703] Errors unhandled (Rule:G104, Severity:LOW, Confidence:HIGH)
/Users/anandm/tansive/tansive-internal/internal/catalogsrv/schema/schemavalidator/validators.go:201:2: [CWE-703] Errors unhandled (Rule:G104, Severity:LOW, Confidence:HIGH)
/Users/anandm/tansive/tansive-internal/internal/catalogsrv/schema/schemavalidator/validators.go:200:2: [CWE-703] Errors unhandled (Rule:G104, Severity:LOW, Confidence:HIGH)
/Users/anandm/tansive/tansive-internal/internal/catalogsrv/policy/viewschemavalidators.go:23:2: [CWE-703] Errors unhandled (Rule:G104, Severity:LOW, Confidence:HIGH)
/Users/anandm/tansive/tansive-internal/internal/catalogsrv/policy/viewschemavalidators.go:22:2: [CWE-703] Errors unhandled (Rule:G104, Severity:LOW, Confidence:HIGH)
/Users/anandm/tansive/tansive-internal/internal/catalogsrv/db/postgresql/variant.go:37:3: [CWE-703] Errors unhandled (Rule:G104, Severity:LOW, Confidence:HIGH)
/Users/anandm/tansive/tansive-internal/internal/catalogsrv/db/postgresql/variant.go:31:4: [CWE-703] Errors unhandled (Rule:G104, Severity:LOW, Confidence:HIGH)
/Users/anandm/tansive/tansive-internal/internal/catalogsrv/db/postgresql/schemadirectory.go:415:4: [CWE-703] Errors unhandled (Rule:G104, Severity:LOW, Confidence:HIGH)
/Users/anandm/tansive/tansive-internal/internal/catalogsrv/db/postgresql/schemadirectory.go:54:3: [CWE-703] Errors unhandled (Rule:G104, Severity:LOW, Confidence:HIGH)
/Users/anandm/tansive/tansive-internal/internal/catalogsrv/db/postgresql/schemadirectory.go:48:4: [CWE-703] Errors unhandled (Rule:G104, Severity:LOW, Confidence:HIGH)
/Users/anandm/tansive/tansive-internal/internal/catalogsrv/db/postgresql/catalog.go:86:3: [CWE-703] Errors unhandled (Rule:G104, Severity:LOW, Confidence:HIGH)
/Users/anandm/tansive/tansive-internal/internal/catalogsrv/db/postgresql/catalog.go:67:3: [CWE-703] Errors unhandled (Rule:G104, Severity:LOW, Confidence:HIGH)
/Users/anandm/tansive/tansive-internal/internal/catalogsrv/db/dbmanager/postgresql.go:154:3: [CWE-703] Errors unhandled (Rule:G104, Severity:LOW, Confidence:HIGH)
/Users/anandm/tansive/tansive-internal/internal/catalogsrv/db/dbmanager/postgresql.go:125:3: [CWE-703] Errors unhandled (Rule:G104, Severity:LOW, Confidence:HIGH)
/Users/anandm/tansive/tansive-internal/internal/catalogsrv/db/dbmanager/postgresql.go:110:4: [CWE-703] Errors unhandled (Rule:G104, Severity:LOW, Confidence:HIGH)
/Users/anandm/tansive/tansive-internal/internal/catalogsrv/db/dbmanager/postgresql.go:93:4: [CWE-703] Errors unhandled (Rule:G104, Severity:LOW, Confidence:HIGH)
